#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
 20260818    11:31:01       0    450     78      -    100      1      0      0      0      0  10251   2445  21716     46      0     12      5 
 20260818    11:31:02       0    445     78      -    100      1      0      0      0      0  10251   2445  21716     46      0      0      0 
 20260818    11:31:03       0    450     79      -    100      1      0      0      0      0  10251   2445  21716     46      0     11      5 
 20260818    11:31:04       0    449     79      -    100      1      0      0      0      0  10251   2445  21716     46      0      0      0 
 20260818    11:31:05       0    451     79      -    100      1      0      0      0      0  10251   2460  21716     46      0     11      3 
 20260818    11:31:06       0    451     78      -    100      1      0      0      0      0  10251   2430  21716     46      0      0      0 
 20260818    11:31:07       0    447     75      -    100     48      0      0      0      0  10251   2310  21716     46      0      7      4 
 20260818    11:31:08       0    449     79      -    100      1      0      0      0      0  10251   2400  21716     46      0      1      0 
 20260818    11:31:09       0    448     71      -    100      7      0      0      0      0  10251   2430  21716     46      0   6917   1495 
 20260818    11:31:10       0    446     78      -    100      1      0      0      0      0  10251   2445  21716     46      0      0      0 
 20260818    11:31:11       0    448     78      -    100      1      0      0      0      0  10251   2490  21716     46      0     11      5 
 20260818    11:31:13       0    450     78      -    100      1      0      0      0      0  10251   2445  21716     46      0      0      2 
 20260818    11:31:14       0    449     78      -    100      1      0      0      0      0  10251   2445  21716     46      0     17      3 
 20260818    11:31:15       0    448     78      -    100      1      0      0      0      0  10251   2430  21716     46      0      0      0 
 20260818    11:31:16       0    449     79      -    100      1      0      0      0      0  10251   2430  21716     46      0      4      1 
 20260818    11:31:17       0    450     77      -    100      1      0      0      0      0  10251   2415  21716     46      0      0      0 
 20260818    11:31:18       0    446     72      -    100    100      0      0      0      0  10251   2565  21716     46      0      0      0 
 20260818    11:31:19       0    447     78      -    100      1      0      0      0      0  10251   2385  21716     46      0      0      0 
 20260818    11:31:20       0    446     71      -    100     86      0      0      0      0  10251   2520  21716     46      0      0      1 
 20260818    11:31:21       0    446     77      -    100      1      0      0      0      0  10251   2415  21716     46      0      0      0 
 20260818    11:31:22       0    448     71      -    100    100      0      0      0      0  10251   2325  21716     46      0      0      0 
 20260818    11:31:23       0    446     78      -    100      1      0      0      0      0  10251   2385  21716     46      0      0      0 
 20260818    11:31:24       0    448     71      -    100    100      0      0      0      0  10251   2160  21716     46      0      0      0 
 20260818    11:31:25       0    451     78      -    100      1      0      0      0      0  10251   2385  21716     46      0      0      0 
 20260818    11:31:26       0    448     74      -    100     86      0      0      0      0  10251   2265  21716     46      0      0      0 
 20260818    11:31:27       0    452     79      -    100      1      0      0      0      0  10251   2460  21716     46      0      0      0 
 20260818    11:31:28       0    444     78      -    100      1      0      0      0      0  10251   2475  21716     46      0      0      0 
 20260818    11:31:29       0    450     79      -    100      1      0      0      0      0  10251   2460  21716     46      0      0      0 
 20260818    11:31:30       0    448     78      -    100     15      0      0      0      0  10251   2490  21716     46      0      0      0 
 20260818    11:31:31       0    451     78      -    100      1      0      0      0      0  10251   2475  21716     46      0      0      0 
 20260818    11:31:32       0    450     77      -    100     73      0      0      0      0  10251   2460  21716     46      0      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
 20260818    11:31:34       0    451     78      -    100      1      0      0      0      0  10251   2430  21716     46      0      6      0 
 20260818    11:31:35       0    441     77      -    100    100      0      0      0      0  10251   2475  21716     46      0      0      0 
 20260818    11:31:36       0    450     78      -    100      1      0      0      0      0  10251   2400  21716     46      0      0      0 
 20260818    11:31:37       0    445     72      -    100    100      0      0      0      0  10251   2685  21716     46      0      0      0 
 20260818    11:31:38       0    450     79      -    100      1      0      0      0      0  10251   2415  21716     46      0      0      0 
 20260818    11:31:39       0    451     79      -    100      1      0      0      0      0  10251   2430  21716     46      0      0      0 
 20260818    11:31:40       0    450     79      -    100      1      0      0      0      0  10251   2445  21716     46      0      0      0 
 20260818    11:31:41       0    446     78      -    100      1      0      0      0      0  10251   2460  21716     46      0      0      0 
 20260818    11:31:42       0    450     79      -    100      1      0      0      0      0  10251   2460  21716     46      0      0      1 
 20260818    11:31:43       0    448     78      -    100      1      0      0      0      0  10251   2460  21716     46      0      0      0 
 20260818    11:31:44       0    450     79      -    100      1      0      0      0      0  10251   2460  21716     46      0     10      6 
 20260818    11:31:45       0    451     78      -    100      1      0      0      0      0  10251   2475  21716     46      0      0      0 
 20260818    11:31:46       0    450     79      -    100      1      0      0      0      0  10251   2445  21716     46      0     11      5 
 20260818    11:31:47       0    443     78      -    100      1      0      0      0      0  10251   2475  21716     46      0      0      0 
 20260818    11:31:48       0    447     72      -    100      7      0      0      0      0  10251   2490  21716     46      0     11      5 
 20260818    11:31:49       0    448     78      -    100      1      0      0      0      0  10251   2430  21716     46      0      0      0 
 20260818    11:31:50       0    448     79      -    100      1      0      0      0      0  10251   2505  21716     46      0     11      4 
 20260818    11:31:51       0    448     78      -    100      1      0      0      0      0  10251   2415  21716     46      0      0      0 
 20260818    11:31:52       0    448     79      -    100      1      0      0      0      0  10251   2430  21716     46      0      4      7 
 20260818    11:31:53       0    446     79      -    100      1      0      0      0      0  10251   2385  21716     46      0      0      0 
 20260818    11:31:55       0    449     78      -    100      1      0      0      0      0  10251   2445  21716     46      0  13972      9 
 20260818    11:31:56       0    449     78      -    100      1      0      0      0      0  10251   2445  21716     46      0      5      0 
 20260818    11:31:57       0    448     79      -    100      1      0      0      0      0  10251   2445  21716     46      0      7      3 
 20260818    11:31:58       0    451     79      -    100      1      0      0      0      0  10251   2430  21716     46      0      0      1 
 20260818    11:31:59       0    447     70      -     99     84      0      0      0      0  10251   2550  21716     46      0      8      2 
 20260818    11:32:00       0    447     78      -    100      1      0      0      0      0  10251   2385  21716     46      0      0      0 
 20260818    11:32:01       0    446     70      -    100    100      0      0      0      0  10251   2400  21716     46      0      0      0 
 20260818    11:32:02       0    448     78      -    100      1      0      0      0      0  10251   2400  21716     46      0      0      0 
 20260818    11:32:03       0    446     72      -    100    100      0      0      0      0  10251   2190  21716     46      0      0      0 
 20260818    11:32:04       0    452     78      -    100      1      0      0      0      0  10251   2400  21716     46      0      0      0 
 20260818    11:32:05       0    450     74      -    100     92      0      0      0      0  10251   2370  21716     46      0      0      0 
 20260818    11:32:06       0    451     79      -    100      1      0      0      0      0  10251   2400  21716     46      0      0      0 
 20260818    11:32:07       0    446     74      -    100     35      0      0      0      0  10251   2340  21716     46      0      0      0 
 20260818    11:32:08       0    445     78      -    100      1      0      0      0      0  10251   2430  21716     46      0      0      0 
 20260818    11:32:09       0    450     78      -    100      1      0      0      0      0  10251   2475  21716     46      0      0      0 
